combat,durability,intelligence,name,power,speed,strength,base,id,occupation,relatives,aliases,alignment,alter-egos,full-name,publisher
30,70,50,Justice,55,33,10,"Mobile, formerly New Warriors and Avengers Headquarters, Camp Hammond",376,Adventurer,"Jerzy Astroyevicht (aka Jerry Astrovik; paternal grandfather); Katerina Astroyevicht (aka Katerina Astrovik; paternal grandmother); Arnold Astrovik (father, deceased); Norma Astrovik (mother);","['Marvel Boy', ""Manglin' John Mahoney"", 'Astounding Astrovik', 'Superhuman Penitentiary Prisoner 344678', '""Super Tights""']",good,No alter egos found.,Vance Astrovik,Marvel Comics
null,null,null,Jyn Erso,null,null,null,-,377,-,-,['-'],good,No alter egos found.,Jyn Erso,George Lucas
null,null,null,K-2SO,null,null,null,-,378,-,-,"['Kaytoo Esso', 'Kay-Tuesso']",good,No alter egos found.,,George Lucas
70,70,100,Kang,100,58,48,-,379,-,"Cassandra Richards, their unnamed son, and matriarch of the Eyriennes; Tara Richards, Reed Richards ( Mister Fantastic ), Franklin Richards, Valeria Richards (all ancestors); various Eyriennes (common ancestry); Victor Von Doom (Doctor Doom, alleged ancestor); Ramades (son), Marcus Kang I-XXIII (sons, deceased); Immortus, Iron Lad, and numerous other alternate dimensional counterparts and their offspring","['Blue Man', 'Victor Timely', 'Blue Totem', 'Scarlet Centurion', 'Rama-Tut', 'King of Kings', 'Master of Men', 'Lord of the Seven Suns']",bad,Iron Lad,Nathaniel Richards,Iron Lad
50,25,75,Kathryn Janeway,21,21,8,-,380,Fleet Commander,"Edward Janeway (father), Gretchen Janeway (mother)",['-'],good,No alter egos found.,Kathryn Janeway,Star Trek
55,25,56,Katniss Everdeen,24,21,8,-,381,-,-,['-'],good,No alter egos found.,Katniss Everdeen,
40,14,25,Kevin 11,100,12,7,-,382,-,"Mrs. Levin (mother), Devlin Levin (alternate future son), Ben Tennyson (Ben 10, best friend), Harvey Hackett (Stepfather), Gwen Tennyson(girlfriend)","['Kevin 11,000', 'Curtis', 'Osmosian', 'Kev', 'Kevin Ethan', 'Levin', 'Ultimate Kevin', 'Doofus', 'An Empty Shell', 'Kevin E. Levin']",good,No alter egos found.,Kevin Ethan Levin,DC Comics
56,35,38,Kick-Ass,22,23,10,-,383,Student,"Mother (unnamed, deceased), Father (unnamed)",['Kickass'],good,No alter egos found.,Dave Lizewski,Icon Comics
30,42,25,Kid Flash,20,92,4,-,384,-,"Rudolph and Mary West (parents), Ira West (grandfather), Iris Allen (aunt), Barry Allen (uncle), Linda Park West (wife), Jai and Iris West (twin children)",['Kid Lantern'],good,No alter egos found.,Wallace Rudolph West,DC Comics
null,null,null,Kid Flash II,null,null,47,-,385,-,-,['-'],good,"Flash IV, Impulse",Bartholomew Allen II,Flash IV
60,90,19,Killer Croc,53,35,53,Gotham City,386,-,-,['-'],bad,No alter egos found.,Waylon Jones,DC Comics
30,35,88,Killer Frost,59,13,10,Pittsburgh,387,Scientist,-,['-'],bad,No alter egos found.,Caitlin Snow,DC Comics
80,42,81,Kilowog,100,53,90,"Oa, formerly Earth, Bolovax Vik",388,-,-,"['Kilo Wog', 'Green Lantern 674.1', 'Dark Lantern', 'The Green Lantern drill sergeant', '""Poozer""', 'Lantern']",good,No alter egos found.,,DC Comics
75,75,56,King Kong,47,71,100,Skull Island,389,-,-,"['the 8th Wonder of the World', 'King of Skull Island']",good,No alter egos found.,King Kong,
40,90,50,King Shark,86,50,88,"Honolulu, Hawaii",390,Professional Criminal,-,['-'],bad,No alter egos found.,Nanaue,DC Comics
70,40,75,Kingpin,13,25,18,"A penthouse in New York City; formerly Fisk Tower in New York City, a mansion in Westchester County, Las Vegas.",391,"Criminal organizer and mastermind, president and owner of legitimate businesses","Anatoly Fyskov (ancestor); Vanessa Fisk (wife, deceased); Rose (Richard Fisk) (son, deceased);","['The Brain Washer', 'Harold Howard', 'Wilbur']",bad,No alter egos found.,Wilson Grant Fisk,Marvel Comics
60,100,63,Klaw,62,33,38,-,392,"Criminal, former Scientist",-,['-'],bad,No alter egos found.,Ulysses Klaw,Marvel Comics
14,10,25,Kool-Aid Man,9,8,18,-,393,-,-,['Pitcher Man'],good,No alter egos found.,,null
85,28,50,Kraven II,43,23,34,-,394,-,"Sergei Kravinoff (Kraven the Hunter, father, deceased), unidentified mother, Vladimir Kravinoff (Grim Hunter, half-brother, deceased), Nedrocci Tannengarden (half-brother, deceased), Dmitri Smerdyakov",['-'],bad,No alter egos found.,Alyosha Kravinoff,Marvel Comics
85,42,63,Kraven the Hunter,25,35,32,-,395,"Professional game hunter, mercenary","Nikolai & Anna Makarova Kravinoff (parents, deceased), Dmitri Smerdyakov (Chameleon, half-brother), Vladimir Kravinoff (Grim Hunter, son, deceased), Aloysha ""Al"" Kravinoff (Kraven II, son), Ned Tannengarden (son, deceased)","['Kraven the Hunter', ""World's Greatest Hunter"", 'the Grim Hunter']",bad,No alter egos found.,Sergei Kravinoff,Marvel Comics
40,90,9,Krypto,82,100,80,"Smallville, Kansas",396,-,-,['-'],good,No alter egos found.,Krypto the Superdog,DC Comics
60,60,69,Kyle Rayner,100,50,90,"Oa,formerly New York City, Los Angeles",397,"Green Lantern, Adventurer, Artist","Aaron Rayner (father), Maura Rayner (mother, deceased), Zachary Rayner (uncle, deceased), Roderick ""Snowy"" Rayner (grandfather, deceased), unnamed maternal great-grandfather (deceased), Kathleen (aunt), Cary Wren (descendant)","['Ion', 'Kyle Vasquez', 'Parallax', 'Torch Bearer', 'Honor Guard', 'The Last Green Lantern']",good,No alter egos found.,Kyle Rayner,DC Comics
70,30,56,Kylo Ren,100,33,44,-,398,-,"Han Solo (Father), Princess Leia (Mother), Luke Skywalker (Uncle)",['-'],bad,No alter egos found.,Ben Solo,George Lucas
null,null,null,Lady Bullseye,null,null,63,-,399,-,-,['-'],bad,No alter egos found.,,Marvel Comics
90,85,63,Lady Deathstrike,48,42,28,-,400,-,"Kenji Oyama (Lord Dark Wind, father, deceased), two unnamed brothers (deceased)",['Ana Cortes'],bad,No alter egos found.,Yuriko Oyama,Marvel Comics
42,14,100,Leader,59,12,10,-,401,-,-,['-'],bad,No alter egos found.,Samuel Sterns,Marvel Comics
14,14,25,Leech,62,12,5,-,402,"Survivor, former student","Annalee (foster mother, deceased)",['-'],good,No alter egos found.,,Marvel Comics
75,30,50,Legion,100,42,100,"formerly Ruth Aldine's mind, Utopia, San Francisco Bay, California; Westcliffe, Colorado; ""No-Time""; Moira MacTaggart's Mutant Research Center, Muir Island, off the coast of Scotland; Haifa; Paris, France",403,"Adventurer, Student","Charles Graymalkin (paternal collateral ancestor), Marcia Graymalkin (paternal collateral ancestor), Jonas Graymalkin (paternal collateral ancestor), Brian Xavier (paternal grandfather), Sharon Xavier (paternal grandmother), Kurt Marko (paternal step-grandfather), Cain Marko (paternal step-uncle), Cassandra Nova Xavier (paternal aunt), Charles Xavier (father), Gabrielle Haller (mother), Daniel Shomron (stepfather), Xavier Family (paternal relatives), Ruth Aldine (lover\/current body)","['Jack Wayne', 'Cyndi', 'Jemail Karami', 'Daniel Lucas Haller', 'Daniel Haller', 'Rodney', 'Ian', 'Lucas', 'Fanya', 'Boris', 'Zachary', 'Sylvester', 'God-Mutant']",good,No alter egos found.,David Haller,Marvel Comics
80,65,75,Leonardo,59,50,16,"New York, New York",404,Ninja,"Donatello (brother), Michelangelo (brother), Raphael (brother)","['Leo', 'Ghost of the Jungle', 'Splinter Jr.']",good,No alter egos found.,Leonardo,IDW Publishing
70,65,100,Lex Luthor,68,25,53,-,405,Owner of LexCorp,"Casey and Elaine Griggs (foster parents, deceased),
Lena Luthor (sister pre-Crisis; daughter post-Crisis),
Elizabeth Perske (ex-wife),
Perry J. White Jr. (son, deceased),
Contessa Erica Alexandra del Portenza (wife, assumed deceased)",['-'],bad,No alter egos found.,Lex Luthor,DC Comics
42,28,38,Light Lass,67,35,10,United Planets,406,-,"Unnamd parents, Garth Ranzz (Lightning Lad, twin brother); Mekt Ranzz (older brother)",['-'],good,No alter egos found.,Ayla Ranzz,DC Comics
42,28,38,Lightning Lad,60,23,10,"Earth, 31st century",407,Legionnaire,-,"['Lightning Boy', 'Live Wire']",good,No alter egos found.,Garth Ranzz,DC Comics
42,42,44,Lightning Lord,66,23,10,-,408,-,-,['-'],bad,No alter egos found.,Mekt Ranzz,DC Comics
28,56,75,Living Brain,31,35,53,-,409,Robot,-,['-'],bad,No alter egos found.,,Marvel Comics
30,100,100,Living Tribunal,100,100,100,-,410,-,One-Above-All (creator),"['Living Trinity', 'Magistrate', 'High Judge of The Multiverse', 'Sir']",neutral,No alter egos found.,,Marvel Comics
null,null,null,Liz Sherman,null,null,null,-,411,-,-,['-'],good,No alter egos found.,Elizabeth Anne Sherman,Dark Horse Comics
56,70,50,Lizard,63,27,51,Florida,412,Research biologist,"Martha (wife, deceased), Billy (son), unnamed sister",['-'],bad,No alter egos found.,Curtis Connors,Marvel Comics
85,100,94,Lobo,100,54,100,Mobile throughout several galaxies,413,"Assassin, Bounty Hunter, Priest",Slobo (clone),"['The Main Man', ""The 'Bo"", 'Master Frag', 'Mister Machete', 'Popebo; He-Who-Devours-Your-Entrails-And-Thoroughly-Enjoys-It']",neutral,No alter egos found.,Lobo,DC Comics
60,85,88,Loki,100,46,63,Asgard,414,God of evil; former god of mischief and madness,"Laufey (father, deceased), Farbauti (mother, deceased), Sigyn (wife, deceased), Odin (foster father, deceased), Frigga (foster mother, deceased), Thor, Vidar (foster brothers, deceased), Hela,Fenris (Wolf), Jordmungand (Midgard Serpent) (children, deceased), Arkin (cousin, deceased)","['God of Mischief', 'Gem-Keeper', 'Walter Lawson', 'Lester', 'Loren Olsen', 'Tyfon', 'Father Williams', 'Willie', 'Tso Zhung; has also impersonated hundreds of others.']",bad,No alter egos found.,Loki Laufeyson,Marvel Comics
70,10,50,Longshot,71,27,10,"X-Factor Investigations Headquarters, New York City, New York; formerly Detroit, Michigan; mobile; Xavier's School for Gifted Youngsters, Salem Center, Westchester County, New York; Mojoverse; Cooterman's Creek, Australian Outback, Australia; Alcatraz I",415,"freedom fighter, stuntman rebel, adventurer","Arize (creator), Alison Blaire (Dazzler) (wife), Gaveedra Seven (Shatterstar) (alleged son)","['The Lost Messiah', 'The Lucky One']",good,No alter egos found.,,Marvel Comics
70,95,50,Luke Cage,44,29,63,-,416,"Adventurer, bar owner, bodyguard, mercenary; formerly theater owner, private investigator, various odd jobs","Jessica Jones (wife), James Leonard Lucas (father), Esther (mother, deceased), James Jr. (Coldfire, brother), unnamed daughter","['Carl Lucas', 'Power Man', 'Mark Lucas', 'Hero for Hire', 'Ace of Spades']",good,Power Man,Luke Cage,Power Man
null,null,null,Luke Campbell,null,null,null,"Newark, NJ",417,-,"Unnamed father (estranged), Mary Campbell",['-'],bad,No alter egos found.,Luke Campbell,NBC - Heroes
100,25,69,Luke Skywalker,100,42,38,-,418,-,"Darth Vader (father), Princes Leia (Sister), Yoda (Master), Obi-Wan Kenobi (Master)","['General Skywalker', 'Master Luke', 'Jedi']",good,No alter egos found.,Luke Skywalker,George Lucas
14,14,38,Luna,53,83,6,-,419,-,"Quicksilver (Pietro Maximoff, father), Magneto (grandfather), Crystal (mother), Scarlet Witch, (aunt), Polaris (aunt)",['-'],good,No alter egos found.,Luna Maximoff,Marvel Comics
null,null,null,Lyja,null,null,null,-,420,Former Skrull Liason Officer,"Johnny Storm - Human Torch (ex-husband), Susan Storm - Invisible Woman (ex-sister-in-law)","['Alicia Masters', 'Lyja The Lazerfist', 'Laura Green']",good,No alter egos found.,Lyja,Marvel Comics
56,84,75,Mach-IV,60,60,36,-,421,"Adventurer; former master mechanic, professional criminal, mercenary",-,"['Beetle', 'MACH-I', 'MACH-II', 'MACH-III', 'Matthew']",bad,No alter egos found.,Abner Jenkins,Marvel Comics
64,84,63,Machine Man,51,35,32,"Garvin's Garage, Queens, New York",422,Insurance Investigator,"Dr. Able Stack, 'father'","['Sir McHinery', 'Mister Machine.Machine Man']",good,No alter egos found.,"X-51, Aaron Stack",Marvel Comics
80,84,88,Magneto,91,27,80,"Currently unrevealed, formerly Asteroid M; various hidden bases on Earth including one in Antarctica; an island in the Bermuda Triangle; Professor Xavier's School for Gifted Youngsters, Salem Center, Westchester County, New York",423,"Currently Revolutionary and Conqueror, formerly Volunteer Orderly, Secret Agent","Magda (wife, deceased), Anya (daughter, deceased), Pietro Maximoff (Quicksilver, son), Wanda Maximoff (Scarlet Witch, daughter), Lorna Dane (Polaris, daughter), Joseph (clone, deceased), Luna (granddaughter)","['The Creator', 'Erik Magnus Lehnsherr', 'Michael Xavier', 'White Pilgrim', 'Erik the RedThe Master of Magnetism']",bad,No alter egos found.,Erik Magnus Lensherr,Marvel Comics
72,64,50,Magog,66,23,48,-,424,-,"Franklin Delano Roosevelt (great-grandfather, deceased)",['-'],good,No alter egos found.,David Reid,DC Comics
74,99,88,Magus,100,70,100,-,425,Ruler of the Technarchy,"Warlock (son, deceased)","[""Warlock's Father""]",bad,No alter egos found.,,Marvel Comics
100,100,100,Man of Miracles,100,100,100,-,426,-,-,['Mother Of Existence'],-,No alter egos found.,,Image Comics
30,70,38,Man-Bat,33,50,18,Gotham City,427,Zoologist,"Francine Langstrom (wife), Rebecca Elizabeth Langtrom (daughter); Aaron Langstrom (son); Britt Langstrom (sister); Ted Friedel (brother-in-law)",['Kirk Langstrom'],neutral,No alter egos found.,Robert Kirkland Langstrom,DC Comics
40,100,50,Man-Thing,100,8,32,"Man-Thing's Swamp, Citrusville, Florida",428,-,Ellen Brandt (ex-wife) Job Burke (son),['the Vagornus Koth; the Swamp Walker; Mr. Salad; Walking Mulch Heap'],good,No alter egos found.,Dr. Theodore Sallis,Marvel Comics
70,42,63,Man-Wolf,45,35,44,Queens,429,"Employed by Dept. of Social Services, Queens; former astronaut, test pilot, security chief for Ravenscroft Institute","J. Jonah (father), Joan (mother, deceased), Marla Madison (stepmother), David (paternal grandfather, presumed deceased), Betty (paternal grandmother, presumed deceased)","['Stargod', 'Vanwolf', 'Skywolf']",good,No alter egos found.,John Jameson,Marvel Comics
95,28,100,Mandarin,100,23,28,Prometheus Corporation; formerly Dragon of Heaven; Palace of the Star Dragon in the Valley of Spirits.,430,"Would-be conqueror; former janitor, businessman and crimelord, government administrator","Unidentified father, mother, paternal aunt (all deceased). Mei-Ling (fianc�e, deceased), Temujin (son), Genghis Khan (alleged ancestor, deceased)","['Tem Borjigin', 'Gene Kahn', 'Master Khan', 'Zhang Tong', 'Mandy']",bad,No alter egos found.,Khan,Marvel Comics
80,80,63,Mantis,100,33,8,Mobile,431,"Celestial Madonna, former adventuress, former bar-maid\/prostitute\/exotic dancer","Libra (Gustav Brandt) (father), Lau Brandt (mother), Cotati possessing Jacques Duquesne (husband), Quoi (son)","['Celestial Madonna', 'Willow', 'Lorelei', 'Mandy Celestine', 'This One (in referring to herself)']",good,No alter egos found.,,Marvel Comics
85,100,100,Martian Manhunter,100,92,95,-,432,-,"M'yrnn J'onzz (father, deceased); Sha'sheen J'onzz (mother, deceased); M'yri'ah (wife, deceased); K'hym (daughter, deceased); Ma'alefa'ak (twin brother); D'all (father-in-law, deceased); J'ahrl J'onzz (ancestor, deceased)","[""ohn Jones; J'Onn J'Onzz (alternate spelling); Big Green Buddy; J.J.; Jolly Green Giant; Light to the Light; Manhunter; Manhunter from Mars; Son of Mars; Bronze Wraith"", 'Bloodwynd', 'many others']",good,No alter egos found.,J'onn J'onzz,DC Comics
80,42,63,Marvel Girl,100,47,85,"Xavier Institute of Higher Learning, Salem Center, Westchester County, New York (formerly) Braddock Lighthouse, England",433,Adventurer,"Scott Summers (Cyclops, alternate timeline father, deceased in own time), Jean Grey-Summers (Phoenix, alternate timeline mother, deceased in own time), Alex Summers (Havok, alternate timeline uncle), Franklin Richards (alternate future husband), Jonathan Reed Richards (Hyperstorm, alternate future son), David Richards (alternate future son)","['Rachel Grey', 'formerly Phoenix', 'Mother Askani', 'Bright Lady', ""Aly'zrn Summerset""]",good,No alter egos found.,Rachel Anne Summers,Marvel Comics
null,null,null,Master Brood,null,null,null,"Toronto, Canada",434,-,Deceased,['Brood'],good,No alter egos found.,Currently Colin Wood,Team Epic TV
100,80,75,Master Chief,69,35,73,-,435,Master Chief Petty Officer of the Navy,-,"['Blue 1', 'Sierra 117', 'Spartan 117', 'Demon']",good,No alter egos found.,John-117,Microsoft
70,85,75,Match,100,83,95,-,436,-,"Superman (genetic template via Superboy), Lex Luthor (genetic Template via Superboy), Superboy (genetic template)","['Superboy', 'Superman']",bad,No alter egos found.,Kent Connor,DC Comics
56,14,63,Matt Parkman,59,12,10,"New York, NY; formerly Los Angeles, CA",437,NYPD detective,"Maury Parkman (father), Janice Parkman (ex-wife)",['-'],good,No alter egos found.,Matthew Parkman,NBC - Heroes
85,42,63,Maverick,60,12,10,-,438,"Mercenary; former adventurer, student","Robert Bradley (Frank Johnson, father), Marion Bradley (Rose Johnson, mother), Catherine Bradley (Jennifer Johnson, sister)","['Chris', 'Bolt']",good,No alter egos found.,Christopher Bradley,Marvel Comics
75,56,75,Maxima,81,35,90,Imperial Royal Palace,439,"Adventurer, Queen of the Almerac Empire",-,"['Queen Maxima', 'Empress of the Almeracian Empire']",bad,No alter egos found.,,DC Comics
14,14,50,Maya Herrera,60,12,10,-,440,-,Alejandro (twin brother),['-'],good,No alter egos found.,Maya Herrera,NBC - Heroes
56,70,75,Medusa,37,35,34,Attilan,441,"Queen, Royal interpreter","Kobar, La (maternal grandparents), Azur (maternal aunt), Mander (maternal uncle-by-marriage), Quelin (father), Ambur (mother), Crystal (sister), Black Bolt (husband, second cousin), Ahura (son), Karnak (cousin), Triton (cousin), Psynapse (second cousin), Maximus (brother-in-law, second cousin), Ronan the Accuser (brother-in-law), Quicksilver (ex-brother-in-law), Luna (niece)","['Madam Medusa', 'Queen Medusa']",good,No alter egos found.,Medusalith Amaquelin Boltagon,Marvel Comics
64,42,38,Meltdown,62,12,10,-,442,"Adventurer, former student, thief","Martin Louis Smith (father), Mandy Smith (step-mother), Wanda Jo Bialowsky-Smith (step-mother)","['Boom-Boom', 'Boomer', 'Meltdown', 'Mutate #35', 'Time Bomb', 'Nancy Forrester']",good,Boom-Boom,Tabitha Smith,Boom-Boom
42,95,88,Mephisto,100,35,85,-,443,Lord of a realm of Hell,"Blackheart (son), Mephista (daughter); presumptive relationship to other Hell-lords; quasi-paternal relationship to Mikal Drakonmegas (Hellfire) and Daimon (Hellstorm) and Satana Hellstrom; formerly engaged to unidentified demoness","['Satan; Mephistopheles', 'Lord of Evil', 'Prince of Devils', 'Prince of Lies', 'Lord of the Lower Depths', 'Satan', 'Beelzebub', 'the Devil', 'Maya', 'Lucifer', 'Nick Scratch', 'the Friend', 'Legion', 'numerous others; impersonated Don Blake', 'many others']",bad,No alter egos found.,,Marvel Comics
80,60,56,Mera,92,79,62,Atlantis,444,Former queen of Atlantis; Former queen of Dimension Aqua,"Aquaman (husband); Aquababy (son, deceased); A.J. (son); Siren (Hila, twin sister)","['Queen of Atlantis', 'Aquawoman', 'Aquagirl', 'Water-Woman']",good,No alter egos found.,Mera,DC Comics
64,95,75,Metallo,86,23,53,"Mobile, though he generally operates out of Metropolis",445,Professional criminal,-,['-'],bad,No alter egos found.,John Corben,DC Comics
null,null,null,Metamorpho,null,null,82,-,446,"Adventurer, former Soldier of Fortune","Unnamed parents (deceased), Sapphire Stagg Mason (wife), Joseph (son), Simon Stagg (father-in-law)",['The Element Man'],good,No alter egos found.,Rex Mason,DC Comics
null,null,null,Meteorite,null,null,null,-,447,-,-,['-'],good,No alter egos found.,,Marvel Comics
28,56,88,Metron,100,47,10,"Supertown, New Genesis",448,"Scientist, seeker of knowledge",-,['-'],good,No alter egos found.,Metron,DC Comics
14,14,63,Micah Sanders,57,12,8,"New Orleans, LA",449,Elementary school student,"Niki Sanders (Mother), DL Hawkins (Father), Paulette Hawkins (paternal grandmother), Hal Sanders (maternal grandfather), Nana Dawson (Guardian)
Nana Dawson (Great-aunt), Monica Dawson (Cousin), Damon Dawson (Cousin)",['MicahSanders500'],good,No alter egos found.,Micah Sanders,NBC - Heroes
75,65,63,Michelangelo,59,50,14,-,450,-,"Leonardo (brother), Donatello (brother), Raphael (brother)","['Mike', 'Mikey', 'Mikester', 'Michaelangelo']",good,No alter egos found.,,IDW Publishing
32,28,38,Micro Lad,44,27,28,"United Planets, 31st century",451,-,-,"['Colossal Boy (mostly known as Colossal Boy', 'although he dislikes that name himself)']",good,No alter egos found.,Gim Allon,DC Comics
42,56,63,Mimic,79,47,67,-,452,-,"Ronald Rankin (father, deceased)","['Cal', 'Wolverine', 'Calvin Rankin']",good,No alter egos found.,Calvin Montgomery Rankin,Marvel Comics
null,null,null,Minna Murray,null,null,null,-,453,-,-,['-'],good,No alter egos found.,Wilhelmina Harker,Wildstorm
42,80,63,Misfit,91,23,32,"Dalten Towers, Metropolis",454,-,-,['Batgirl'],good,Batgirl V,Charlotte Gage-Radcliffe,Batgirl V
45,100,63,Miss Martian,100,58,85,"Arizona; San Francisco, California; formerly the Tanami Desert, Australia",455,Adventurer,-,"[""Megan Morse; M'Gann M'Orzz (alternate spelling); Martian Girlhunter; Martian Manhunter (Titans Tomorrow alias)"", 'Star-Spangled Kid']",good,No alter egos found.,M'gann M'orzz,DC Comics
64,70,100,Mister Fantastic,33,18,10,New York City,456,"Scientist, adventurer","Nathaniai (father), Evelyn (mother, deceased), Susan Storm - Invisible Woman (wife), Franklin (son), Johnny Storm - Human Torch (brother-inlaw), Cassandra (stepmother, deceased), Immortus (father's descendant, see Immortus, Kang, Rama-Tut).",['Mr Fantastic'],good,No alter egos found.,Reed Richards,Marvel Comics
28,70,75,Mister Freeze,37,12,32,-,457,-,"Nora Fries (wife, deceased, then resurrected as Lazara), Charles (Father) and Lorraine Fries (Mother)","['Mister Zero', 'Doctor Zero', 'Doctor Schimmell']",bad,No alter egos found.,Victor Fries,DC Comics
65,30,75,Mister Knife,13,17,10,"Formerly Spartax, Spartoi Empire, near the Shi'ar Galaxy",458,"Crimelord; former emperor, prince","Eson (father, deceased), Peter Quill (Star-Lord, son), Victoria (daughter)","['Jason of Spartax', 'Jason of Sparta', 'Star-Lord', 'Mr Knife']",bad,No alter egos found.,J'son,Marvel Comics
50,100,100,Mister Mxyzptlk,100,100,85,-,459,-,-,['-'],bad,No alter egos found.,Mr. Mxyzptlk,DC Comics
50,90,100,Mister Sinister,100,46,48,Many bases throughout the world including his State Home for Foundlings and the Center for Homo Superior Medical Care.,460,"Geneticist, Criminal, biologist and mutant-supremacist","Rebecca Essex (wife, deceased), Adam Stanislaus Essex (son, deceased), N2 (creation, deceased), Madelyne Pryor (creation, deceased), Claudine Renko (clone ""daughter"")","['Sinister', 'Robert Windsor', 'Arnold Bocklin', 'Mike Milbury', 'Apocalypse', 'Steven Shaffran', 'Edmond Atkinson', 'Nate', 'Administrator Pearson', 'Nosferatu', 'Nathan Milbury', 'Pale Man']",bad,No alter egos found.,Nathaniel Essex,Marvel Comics
85,28,88,Mister Zsasz,18,33,22,-,461,Serial Killer,-,['Mr Zsasz'],bad,No alter egos found.,Victor Zsasz,DC Comics
95,20,75,Mockingbird,48,38,31,"New York City, New York",462,"Adventurer; former counter-terrorist agent, private investigator, government operative, S.H.I.E.L.D. agent, biologist",Susan Morse (mother); Ben Morse (brother); Hawkeye (Clint Barton) (ex-husband),"['Barbara Morse-Barton', 'Roberta Morse', 'Agent 19', 'Huntress', 'Bobbi Van Dyne; once posed as Shooting Star']",good,No alter egos found.,Barbara Morse,Marvel Comics
15,25,100,MODOK,79,25,18,-,463,"Would-be conqueror, AIM leader, terrorist; former AIM agent, technician","M.O.D.O.K. Superior (clone), Head Case (son), Number None (son)","['M.O.D.O.K.', 'Mental Organism Designed Only for Killing']",bad,No alter egos found.,George Tarleton,Marvel Comics
null,null,null,Mogo,null,null,null,Sector 2261,464,Green Lantern,-,['-'],good,No alter egos found.,Mogo,DC Comics
null,null,null,Mohinder Suresh,null,null,null,"Apartment in Brooklyn, NY",465,"Former agent of Pinehearst Company, former Company medical professional & agent, former taxi driver, former genetics professor","formerly Maya Herrera, formerly Mira Shenoy, Chandra Suresh (deceased), Unnamed mother, Shanti Suresh",['-'],good,No alter egos found.,Mohinder Suresh,NBC - Heroes
null,null,null,Moloch,null,null,null,-,466,-,-,"['William Edgar Bright', 'Moloch the Mystic']",bad,No alter egos found.,Edgar William Jacobi,DC Comics
56,84,50,Molten Man,53,23,73,-,467,"Security guard for Osborn industries, former criminal, lab assistant","Doris Raxton (mother), Liz Allan Osborn (step-sister), Harry Osborn (Green Goblin II , step-brother-in-law, deceased), Norman Osborn Jr. (Green Goblin I, step-nephew)",['-'],bad,No alter egos found.,Mark Raxton,Marvel Comics
null,null,null,Monarch,null,null,100,-,468,"Adventurer, former U.S. Special Agent, former U.S. Air Force Captain","Angela Adams (wife, deceased), Margaret Eiling (daughter), Randall Eiling (son)","['Monarch', 'Allen Adam', 'Cameron Scott', 'Captain Atom']",good,No alter egos found.,Nathaniel Christopher Adam,DC Comics
90,14,50,Monica Dawson,48,35,10,"New Orleans, LA",469,Fast food service,"Nana Dawson (Grandmother), Damon (brother), DL Hawkins (cousin), Niki Sanders (cousin-in-law once removed), Micah Sanders (second cousin)",['-'],good,No alter egos found.,Monica Dawson,NBC - Heroes
75,42,50,Moon Knight,28,23,36,"New York City; formerly Spector Mansion, Long Island, Avengers Compound, California",470,"Adventurer, entrepreneur; former prize fighter, spy, soldier, mercenary, cab driver","Shadowknight (Randall Spector) (brother, deceased), Elias (father, deceased), Seth Phalkon (alleged great-great-grandfather)","['Jake Lockley', 'Steven Grant', 'Yitzak Topol', 'Fist of Khonshu', 'Crescent Crusader', 'Lunar Legionnaire']",good,No alter egos found.,Marc Spector,Marvel Comics
80,52,56,Moonstone,74,47,67,formerly Mount Charteris; Four Freedoms Plaza,471,"former Adventurer, Psychiatrist","Karl August Sofen (father), Marion Sofen (mother), unnamed maternal grandparents (only mentioned )","['Meteorite', ' Kate Sorenson']",bad,No alter egos found.,Karla Sofen,Marvel Comics
56,42,63,Morlun,74,35,60,-,472,-,-,['-'],bad,No alter egos found.,Morlun,Marvel Comics
null,null,null,Morph,null,null,40,Mobile,473,"Adventurer, reality traveler","Unnamed mother (deceased), Unnamed father",['-'],good,No alter egos found.,Kevin Sydney,Marvel Comics
56,42,75,Moses Magnum,55,12,28,-,474,"Terrorist, president of Magnum Munitions; former ruler of Canaan",-,"['Magnum Force,']",bad,No alter egos found.,Moses Magnum,Marvel Comics
30,100,50,Mr Immortal,69,8,10,-,475,-,-,['-'],good,No alter egos found.,Craig Hollis,Marvel Comics
40,95,50,Mr Incredible,29,33,83,-,476,-,"Helen Parr (Elastigirl, wife), Violet Parr(Violet, daughter), Dashiell Parr (Dash, son), Jack-jack (son)","['Mr. I', ""The Hero's Hero"", 'Bob Parr']",good,No alter egos found.,Robert Parr,Dark Horse Comics
56,84,38,Ms Marvel II,11,23,63,-,477,"Wanderer, former adventurer, wrestler, stunt woman, scuba diver, motorcycle performer",-,['She-Thing'],good,She-Thing,Sharon Ventura,She-Thing
62,70,63,Multiple Man,28,23,11,New York City,478,"Private investigator (formerly) Farmer, Adventurer","Dr. Daniel Madrox (father, deceased), Joan Madrox (mother, deceased)",['-'],good,No alter egos found.,James Arthur,Marvel Comics
70,40,81,Mysterio,82,17,10,"New York City, New York State (Earth-1610) formerly New York City, New York (Earth-616)",479,Criminal; former Hollywood special effects designer and stunt man,"Henrietta Beck (mother), Elmore Beck (father), Vincent (uncle), Maguire Beck (Jack O'Lantern) (cousin)","['Nicholas Macabes', 'Rudolph Hines', 'Gerdes', 'Doctor Ludwig Rinehart']",bad,No alter egos found.,Quentin Beck,Marvel Comics
